//   rx ry  vx  vy  rad mass r g b
    .5 .5 .000 .001 .02 25.0      0 0 0
    .2 .1 .002 .000 .02 0.5       1 0 0
    .1 .1 .001 .000 .02 0.5     .3 1 0
    .6 .1 .007 .000 .02 0.5   1 1 0
    .7 .1 .009 .000 .02 0.5   1 0 1
    .5 .5 .000 .001 .02 25.0  0 0 0
    .2 .1 .002 .000 .02 0.5   1 0 0
    .1 .1 .001 .000 .02 0.5   .3 1 0
    .6 .1 .007 .000 .02 0.5 1 1 0
    .7 .1 .009 .000 .02 0.5 1 0 1
    .5 .5 .000 .001 .02 25.0 0 0 0
    .2 .1 .002 .000 .02 0.5 1 0 0
    .1 .1 .001 .000 .02 0.5 .3 1 0
    .6 .1 .007 .000 .02 0.5 1 1 0
    .7 .1 .009 .000 .02 0.5 1 0 1
    .5 .5 .000 .001 .02 25.0 0 0 0
    .2 .1 .002 .000 .02 0.5 1 0 0
    .1 .1 .001 .000 .02 0.5 .3 1 0
    .6 .1 .007 .000 .02 0.5 1 1 0
    .7 .1 .009 .000 .02 0.5 1 0 1

